game_id,home,away,timestamp,winner,loser
e096b4a4-dc91-4afd-bbf4-606936a87e6f,Twende,Bantu,05-05-24,Twende,Bantu
d0668950-c40a-4761-a41a-1098bfe2388f,Kibra,Pride Landers,05-05-24,Kibra,Pride Landers
a930b465-6de1-48bf-b0bc-987a6664fcf7,savio,E Nets,05-11-24,E Nets,savio
1517b96c-6886-415d-b370-29860c6024a4,Phenoms,Advance,05-05-24,Phenoms,Advance
d1fd9661-04ee-4f6a-814b-b75e83c6ae8d,E Nets,Kwetu,05-05-24,E Nets,Kwetu
f26b5143-5550-47d3-a73a-ee8b7c4af722,Twende,Vikapu,05-26-24,Twende,Vikapu
343dd51a-86eb-406d-b678-f78ae2bd093c,Vikapu,E Nets,10-10-24,E Nets,Vikapu
0fc0c46f-5156-4195-92d3-a2855fa2d409,MooreWright,DB Nets,05-11-24,DB Nets,MooreWright
16246ebb-0279-47ab-aac9-73b2c439a380,Leos,Bantu,05-11-24,Bantu,Leos
6411d3ce-34b4-402f-a798-5878f52d9550,Advance,Huruma Dragons,05-12-24,Huruma Dragons,Advance
33251337-a935-4780-a504-c06fe6de3cd1,Buruburu,Fam Kenya,05-11-24,Fam Kenya,Buruburu
949351a3-6f4f-45b7-ac7c-e85676a41683,MooreWright,Vikapu,05-12-24,Vikapu,MooreWright
81e1f66c-2212-4a9d-bbcd-54512511bae6,DeeMentor,Jericho Nets,05-12-24,DeeMentor,Jericho Nets
2e815f6c-25e5-4dae-a101-b33f8312e004,Saints,Clique Mambas,05-12-24,Clique Mambas,Saints
1fb1c56e-38f8-41ed-ad70-978a3f1ad679,Teffad,Junubin,05-12-24,Junubin,Teffad
30d41b43-20f7-4e32-be57-bc26283d1529,Phenoms,DeeMentor,06-08-24,Phenoms,DeeMentor
6be66872-8158-4069-842e-c94e5312b4ba,Kwetu,savio,05-12-24,Kwetu,savio
c5e3f240-6344-4bab-a261-5a5fafd33534,Rangers,Leos,06-09-24,Rangers,Leos
e8207276-22c3-4bce-a026-598f75705d3d,Clique Mambas,Buruburu,05-16-24,Buruburu,Clique Mambas
5e4be2b8-e330-4a90-a31c-13d2f75bec8c,Jericho Nets,Teffad,05-18-24,Jericho Nets,Teffad
