team,total_free_throw_attempts,total_free_throw_made,total_two_point_attempts,total_two_point_made,total_three_point_made,total_three_point_attempts,total_assists,total_offensive_rebounds,total_defensive_rebounds,total_turnovers,total_points,game_id,timestamp
leos,3.0,1.0,31.0,12.0,1.0,16.0,2.0,16.0,13.0,12.0,28.0,a71418c6-b68c-4b1d-992f-71e111329bc5,2024-07-04T16:44:09.481Z
vikapu,6.0,5.0,27.0,30.0,6.0,14.0,11.0,11.0,25.0,7.0,83.0,a71418c6-b68c-4b1d-992f-71e111329bc5,2024-07-04T16:44:09.481Z
rangers,5.0,4.0,20.0,16.0,7.0,11.0,4.0,6.0,13.0,10.0,57.0,1f899047-8416-4e36-b5aa-11748a46bc89,2024-08-03T13:30:41.333Z
twende,3.0,4.0,15.0,16.0,13.0,29.0,11.0,20.0,25.0,13.0,75.0,1f899047-8416-4e36-b5aa-11748a46bc89,2024-08-03T13:30:41.333Z
jericho nets,8.0,10.0,29.0,25.0,5.0,11.0,12.0,10.0,29.0,7.0,75.0,b273dad0-93c8-4dd1-be08-89bf4341a1b8,2024-06-29T07:00:32.586Z
junubin,4.0,6.0,27.0,21.0,6.0,18.0,5.0,14.0,19.0,14.0,66.0,b273dad0-93c8-4dd1-be08-89bf4341a1b8,2024-06-29T07:00:32.586Z
bantu,8.0,8.0,24.0,17.0,5.0,8.0,9.0,5.0,17.0,9.0,57.0,6e56a1cd-0aea-453a-bd3e-0f63a99d1da5,2024-06-30T07:23:37.841Z
leos,2.0,4.0,19.0,13.0,3.0,16.0,1.0,13.0,10.0,9.0,39.0,6e56a1cd-0aea-453a-bd3e-0f63a99d1da5,2024-06-30T07:23:37.841Z
e nets,14.0,11.0,22.0,21.0,3.0,10.0,10.0,14.0,12.0,19.0,62.0,3500f50f-fef2-415c-8fb7-fd91e86419fc,2024-06-30T07:26:57.712Z
savio,13.0,8.0,22.0,16.0,6.0,14.0,7.0,7.0,12.0,14.0,58.0,3500f50f-fef2-415c-8fb7-fd91e86419fc,2024-06-30T07:26:57.712Z
jericho nets,1.0,1.0,15.0,11.0,5.0,8.0,1.0,4.0,11.0,6.0,38.0,a153f181-4536-4535-95f4-98afa859c86d,2024-08-04T14:32:05.656Z
saints,8.0,9.0,21.0,18.0,13.0,20.0,5.0,14.0,5.0,7.0,84.0,a153f181-4536-4535-95f4-98afa859c86d,2024-08-04T14:32:05.656Z
buruburu,11.0,5.0,22.0,11.0,7.0,15.0,4.0,8.0,18.0,12.0,48.0,6c439ffe-c677-454e-bea0-ed085fd84e0e,2024-07-13T08:20:46.019Z
fam kenya,18.0,16.0,19.0,20.0,5.0,17.0,6.0,12.0,18.0,11.0,71.0,6c439ffe-c677-454e-bea0-ed085fd84e0e,2024-07-13T08:20:46.019Z
e nets,4.0,6.0,17.0,25.0,5.0,15.0,9.0,7.0,8.0,5.0,71.0,e3921a47-526c-42c0-b7b4-fcf61860c287,2024-07-14T08:32:53.383Z
pride landers,8.0,12.0,18.0,18.0,2.0,4.0,3.0,6.0,5.0,11.0,54.0,e3921a47-526c-42c0-b7b4-fcf61860c287,2024-07-14T08:32:53.383Z
junubin,0.0,8.0,17.0,17.0,2.0,20.0,2.0,5.0,12.0,15.0,48.0,49f47931-499f-45f2-bdcc-ff0f82513e77,2024-07-13T08:21:20.369Z
teffad,5.0,4.0,21.0,14.0,7.0,16.0,5.0,2.0,7.0,8.0,53.0,49f47931-499f-45f2-bdcc-ff0f82513e77,2024-07-13T08:21:20.369Z
saints,16.0,9.0,18.0,24.0,3.0,12.0,2.0,5.0,9.0,7.0,66.0,13caf5aa-a79a-48b5-9bc9-1ef12c35be05,2024-07-20T04:18:53.347Z
teffad,9.0,10.0,15.0,14.0,8.0,18.0,3.0,2.0,9.0,9.0,62.0,13caf5aa-a79a-48b5-9bc9-1ef12c35be05,2024-07-20T04:18:53.347Z
e nets,8.0,9.0,20.0,23.0,1.0,6.0,5.0,10.0,14.0,6.0,58.0,8bc2c23f-c075-414d-9ee0-7e3532a71d02,2024-07-20T04:20:15.680Z
kibra,13.0,5.0,19.0,14.0,1.0,8.0,2.0,12.0,10.0,9.0,36.0,8bc2c23f-c075-414d-9ee0-7e3532a71d02,2024-07-20T04:20:15.680Z
deementor,14.0,13.0,27.0,20.0,4.0,20.0,5.0,10.0,26.0,10.0,65.0,96d12401-75d8-4b5f-b6c0-632907598ba8,2024-07-21T07:32:20.559Z
huruma dragons,4.0,10.0,32.0,20.0,8.0,18.0,7.0,6.0,30.0,15.0,74.0,96d12401-75d8-4b5f-b6c0-632907598ba8,2024-07-21T07:32:20.559Z
phenoms,5.0,5.0,17.0,23.0,9.0,31.0,12.0,14.0,21.0,14.0,78.0,f0b4521b-924f-4f8f-8548-7695fd8f8cc0,2024-07-21T07:34:57.583Z
teffad,6.0,6.0,24.0,15.0,4.0,18.0,5.0,5.0,21.0,8.0,48.0,f0b4521b-924f-4f8f-8548-7695fd8f8cc0,2024-07-21T07:34:57.583Z
fam kenya,7.0,10.0,22.0,17.0,3.0,16.0,4.0,12.0,26.0,19.0,53.0,a5e8fd73-4b97-4e48-aff4-4514ab91afba,2024-07-21T08:48:57.214Z
saints,13.0,19.0,36.0,12.0,5.0,21.0,7.0,13.0,16.0,16.0,58.0,a5e8fd73-4b97-4e48-aff4-4514ab91afba,2024-07-21T08:48:57.214Z
clique mambas,6.0,15.0,19.0,22.0,4.0,22.0,5.0,17.0,10.0,3.0,71.0,f54421e9-fa59-4713-a8b7-c4a7216d0172,2024-08-04T11:42:26.200Z
huruma dragons,2.0,3.0,11.0,17.0,5.0,12.0,5.0,7.0,12.0,6.0,52.0,f54421e9-fa59-4713-a8b7-c4a7216d0172,2024-08-04T11:42:26.200Z
kibra,4.0,11.0,15.0,22.0,5.0,14.0,6.0,9.0,17.0,11.0,70.0,dae86f56-2986-45d6-bfec-3661b5b25497,2024-08-21T10:28:20.129Z
